year,data_type,value,kind,slope,reg_point,peace_reg_memory,peace_reg,direction_ferme,column_order,avg_loss_mem,avg_loss_no_mem
1730,trade,,imports,Marseille +1.8%/an,37856262.27067151,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1731,trade,,imports,Marseille +1.8%/an,38543698.22176493,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1732,trade,,imports,Marseille +1.8%/an,39243617.39646535,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1733,trade,,imports,Marseille +1.8%/an,39956246.47897729,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1734,trade,,imports,Marseille +1.8%/an,40681816.26988818,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1735,trade,,imports,Marseille +1.8%/an,41420561.760917775,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1736,trade,,imports,Marseille +1.8%/an,42172722.211026296,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1737,trade,,imports,Marseille +1.8%/an,42938541.22390322,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1738,trade,,imports,Marseille +1.8%/an,43718266.82686323,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1739,trade,,imports,Marseille +1.8%/an,44512151.55117628,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1740,trade,49485692.83599193,imports,Marseille +1.8%/an,45320452.513854876,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1741,trade,51981444.31035002,imports,Marseille +1.8%/an,46143431.50092662,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1742,trade,52176220.79880458,imports,Marseille +1.8%/an,46981355.05222049,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1743,trade,64238856.881133206,imports,Marseille +1.8%/an,47834494.547690324,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1744,trade,32198747.948294297,imports,Marseille +1.8%/an,48703126.2953083,65962071.54714142,65962071.54714142,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1745,trade,35635165.03908121,imports,Marseille +1.8%/an,49587531.6205529,71359559.20284958,71359559.20284958,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1746,trade,32880300.461018704,imports,Marseille +1.8%/an,50487996.95752178,77198707.8360006,77198707.8360006,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1747,trade,35600040.11585111,imports,Marseille +1.8%/an,51404813.941700846,83515657.30117384,83515657.30117384,Marseille,0,Perte memoire-40.0%,Perte -29.8%
